State,Store Name,Store Address,Store Timings,Store Name + State,latitude,longitude
Kolkota,MINISO KOLKATA,"F-oo9 & 10 1st Floor 1858/1 Rajdanga, Main Road Kolkata, West Bengal-700107
",11:00 AM - 09:00 PM,"MINISO KOLKATA, Kolkota",22.50206,88.3617
Kolkota,SOUTH CITY MALL,375 Prince Anwar Shah Road Southcity Complex Jadavpur West Bengal Kolkata:-700068,10:00 AM to 9:00 PM,"SOUTH CITY MALL, Kolkota",22.50206,88.3617
Kolkota,ACROPOLIS MALL,1858/1 Rajdanga Main Road. Kolkata:700107,10:30 AM to 9:00 PM,"ACROPOLIS MALL, Kolkota",22.51476,88.39287
Kurukshetra,KURUKSHETRA,"Shop Number G-21, 26, Kessel Mall, Sector 17, City Centre, Kurukshetra, Haryana, Pin - 136118",11:00 AM - 10:00 PM,"KURUKSHETRA, Kurukshetra",29.97323,76.83214
Ladakh,MAIN MARKET LEH,Shyok Complex Adjoinning Sbi Bank Main Branch Leh Main Market Ladakh 194101,11:00 AM to 9:30 PM,"MAIN MARKET LEH, Ladakh",34.15266,77.577
Lucknow,"ONE AWADH MALL, GOMTI NAGAR","Unit No. 2, Ground Floor, One Awadh Mall, Plot No.384, Gomti Nagar Road, Vibhuti Khand, Opposite Apna Bazaar, Lucknow, Uttar Pradesh 226010",11:00 AM to 10:00 PM,"ONE AWADH MALL, GOMTI NAGAR, Lucknow",26.86181,81.01055
Lucknow,SAHARA GANJ MALL,"112, Sahara Ganj Mall, Hazratganj, Lucknow - 226001",11:00 AM to 10:00 PM,"SAHARA GANJ MALL, Lucknow",26.85574,80.94559
Lucknow,ONE AWADH MALL,"One Awadh Center Mall, Plot No 384, Vibhuti Khand, Gomtinagar Lucknow, Uttar Pradesh 226010",11:00 AM to 10:00 PM,"ONE AWADH MALL, Lucknow",26.86181,81.01055
Ludhiana,PAVILLION MALL,"A-15, Atrium Floor, Pavillion Mall, B-i-1258, Kailash Cinema Rd, Civil Lines, Ludhiana, Punjab 141008",11:00 AM - 09:30 PM,"PAVILLION MALL, Ludhiana",30.91537,75.84094
Ludhiana,THE WAVE MALL,"Lg 3, 4, 5, The Wave Mall, Ferozepur Road, Opp. Forest Office, Ludhiana, Punjab - 141012",11:00 AM to 10:00 PM,"THE WAVE MALL, Ludhiana",30.88633,75.78871
MAHARASHTRA,MINISO DADAR HIGH STREET,"Miniso, Shop No. 1 & 2, Vasant Niwas, Opposite Dadar Railway Station, Ranade Road, Dadar West, Mumbai-400028",10:00 AM to 9:00 PM,"MINISO DADAR HIGH STREET, MAHARASHTRA",18.4965,73.86269
MAHARASHTRA,MINISO SANGLI,"Sfc Megaa Mall Shop No. Ug07, Sangli 416416",10:00 AM to 9:00 PM,"MINISO SANGLI, MAHARASHTRA",16.85438,74.56417
MAHARASHTRA,GROWELS 101 MALL,"05, Ground Floor, Growels 101 Mall, Akurli Road, Western Express Highway, Kandivali East, Mumbai - 400101",11:00 AM to 10:00 PM,"GROWELS 101 MALL, MAHARASHTRA",19.20233,72.86139
MAHARASHTRA,KUMAR PACIFIC MALL STORE,Kumar Pacific Mall Shankar Sheth Road Gultekdi Pune - 411042,10:00 AM to 10:00 PM,"KUMAR PACIFIC MALL STORE, MAHARASHTRA",18.50158,73.87224
MAHARASHTRA,NIRALA BAZAAR AURANGABAD,Shop No 13.14 Tapadiya Circle Near Domino's Nirala Bazar Aurangabad,10:00 AM to 10:10 PM,"NIRALA BAZAAR AURANGABAD, MAHARASHTRA",19.87834381,75.32584472
Manipur,CVN BUILDING IMPHAL,Cvv Building New Checkon Opp Central Arcade Imphal-795001,10:30 AM to 6:30 PM,"CVN BUILDING IMPHAL, Manipur",24.80756,93.92864
Mathura,"KRISHNA NAGAR, MATHURA","Khata No. 72, Mauja Keshopur Manoharpur, Diable Nagar , Krishna Nagar, Mathura, Uttar Prades 281004",11:00 AM to 10:00 PM,"KRISHNA NAGAR, MATHURA, Mathura",27.49575,77.65987
